2025-06-19 18:00:27.421965: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_0.jpg, status: Unknown
2025-06-19 18:00:28.478364: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_1.jpg, status: Unknown
2025-06-19 18:00:29.489227: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_2.jpg, status: Unknown
2025-06-19 18:00:30.504962: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_3.jpg, status: Unknown
2025-06-19 18:00:31.521132: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_4.jpg, status: Unknown
2025-06-19 18:05:14.504236: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_0.jpg, status: Unknown
2025-06-19 18:05:15.702435: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_1.jpg, status: Unknown
2025-06-19 18:05:16.779908: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_2.jpg, status: Unknown
2025-06-19 18:09:02.358053: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_3.jpg, status: Unknown
2025-06-19 18:09:03.435038: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_4.jpg, status: Unknown
2025-06-19 18:09:04.518454: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_5.jpg, status: Unknown
2025-06-19 18:15:03.339614: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_6.jpg, status: Unknown
2025-06-19 18:15:04.637559: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_7.jpg, status: Unknown
2025-06-20 10:27:23.629034: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_0.jpg, status: Unknown
2025-06-20 10:27:25.020174: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_1.jpg, status: Unknown
2025-06-20 10:38:40.149389: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_0.jpg, status: Unknown
2025-06-20 10:38:41.823662: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_1.jpg, status: Unknown
2025-06-20 10:38:43.389303: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_2.jpg, status: Unknown
2025-08-05 16:32:20.795564: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_3.jpg, status: Unknown
2025-08-05 16:32:21.967352: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_4.jpg, status: Unknown
2025-08-05 16:32:23.403745: Captured Unknown, saved as C:\Users\PCM\PycharmProjects\FR\captured_faces\Unknown\Unknown_5.jpg, status: Unknown
